airport,manufacturer,made_in,serial_no,type,title,model,status,stp_status,date_of_manufacturing,place_of_installation,remarks,description,
1,Smith Detection,Germany,192449,1,Smith Detection 6040-2is,6040-2is,1,p,1-10-2023,1,Installed at: IC-1 | Received from: CAA,,
1,Smith Detection,Germany,192452,1,Smith Detection 6040-2is,6040-2is,1,p,1-10-2023,1,Installed at: IC-2 | Received from: CAA,,
1,Smith Detection,Germany,192451,1,Smith Detection 6040-2is,6040-2is,1,p,1-10-2023,1,Installed at: IC-3 | Received from: CAA,,
1,Smith Detection,Germany,192450,1,Smith Detection 6040-2is,6040-2is,1,p,1-10-2023,1,Installed at: IC-4 | Received from: CAA,,
1,Smith Hi-Scan,Germany,21304,1,Smith Hi-Scan 6040i,6040i,1,p,1-6-2001,48,Installed at: Hajj Lounge | Received from: CAA,,
1,Smith Hi-Scan,Germany,21305,1,Smith Hi-Scan 6040i,6040i,1,p,1-6-2001,49,Installed at: State Lounge | Received from: CAA,,
1,Smith Hi-Scan,Germany,72747,1,Smith Hi-Scan 6040i,6040i,1,p,1-3-2007,43,Installed at: Dom Arrival | Received from: HQs ASF,,
1,Smith Hi-Scan,Germany,72751,1,Smith Hi-Scan 6040i,6040i,1,p,1-3-2007,5,Installed at: DC-1 | Received from: HQs ASF,,
1,Smith Hi-Scan,Germany,72753,1,Smith Hi-Scan 6040i,6040i,1,p,1-3-2007,52,Installed at: Transit | Received from: HQs ASF,,
1,Smith Hi-Scan,Germany,77049,1,Smith Hi-Scan 6040i,6040i,1,p,1-2-2008,52,Installed at: Standby | Received from: HQs ASF,,
1,Smith Hi-Scan,Germany,77051,1,Smith Hi-Scan 6040i,6040i,1,p,1-2-2008,52,Installed at: Stand by | Received from: HQs ASF,,
1,Smith Hi-Scan,Germany,80723,1,Smith Hi-Scan 6040i,6040i,1,p,1-12-2008,7,Installed at: Standby | Received from: HQs ASF,,
1,Smith Hi-Scan,Malaysia,145116,1,Smith Hi-Scan 6040-2is,6040-2is,1,p,1-5-2016,5,Installed at: DC - 3 | Received from: CAA,,
1,Smith Hi-Scan,Malaysia,145117,1,Smith Hi-Scan 6040-2is,6040-2is,1,p,1-5-2016,5,Installed at: DC-2 | Received from: CAA,,
1,Smith Hi-Scan,Malaysia,145123,1,Smith Hi-Scan 6040-2is,6040-2is,1,p,1-5-2016,4,Installed at: IC - 6 | Received from: CAA,,
1,Smith Hi-Scan,Malaysia,145124,1,Smith Hi-Scan 6040-2is,6040-2is,1,p,1-5-2016,52,Installed at: Standby | Received from: CAA,,
1,Rapiscan,Malaysia,6150764,1,Rapiscan 620 DV,620 DV,1,p,1-2-2015,50,Installed at: Office B II | Received from: Bahrain,,
1,Smith Detection,Germany,192282,2,Smith Detection 100100v-2is,100100v-2is,1,p,1-9-2023,2,Installed at: FoH-1 | Received from: CAA,,
1,Smith Detection,Germany,192283,2,Smith Detection 100100v-2is,100100v-2is,1,p,1-9-2023,2,Installed at: FoH-2 | Received from: CAA,,
1,Smith Detection,Germany,192288,2,Smith Detection 100100v-2is,100100v-2is,1,p,1-9-2023,2,Installed at: FoH-3 | Received from: CAA,,
1,Smith Detection,Germany,192290,2,Smith Detection 100100v-2is,100100v-2is,1,p,1-9-2023,2,Installed at: FoH-4 | Received from: CAA,,
1,Smith Detection,Germany,192289,2,Smith Detection 100100v-2is,100100v-2is,1,p,1-9-2023,3,Installed at: FoH-5 | Received from: CAA,,
1,Smith Detection,Germany,21725,2,Smith Detection 9075,9075,1,f,1-8-2001,52,Installed at: FoH-6 | Received from: CAA,,
1,Smith Hi-Scan,Germany,21726,2,Smith Hi-Scan 9075,9075,1,f,1-8-2001,52,Installed at: Standby | Received from: CAA,,
1,Smith Hi-Scan,Germany,21787,2,Smith Hi-Scan 9075,9075,1,f,1-9-2001,40,Installed at: Zero Level | Received from: CAA,,
1,Smith Hi-Scan,Germany,124304,2,Smith Hi-Scan 100100T,100100T,1,p,1-10-2016,6,Installed at: DH-2 | Received from: CAA,,
1,Smith Detection,Germany,149272,2,Smith Detection 100100T,100100T,1,p,1-10-2017,6,Installed at: DH-1 | Received from: CAA,,
1,Smith Hi-Scan,Germany,115173,2,Smith Hi-Scan 100100V,100100V,1,p,1-9-2012,51,Installed at: IH - 1 | Received from: CAA,,
1,Rapiscan,Malaysia,6230138,2,Rapiscan 928dx,928dx,1,p,1-1-2023,51,Installed at: IH-2 | Received from: DFT,,